episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
62,360013686.41314596,0.6935,0.6935,354194335.21752465,0.724,0.724,776972078.6477689,0.7247,0.7247,1419742294.9023056,0.6901,0.6901,451289874.83207315,0.6513,0.6513,501658853.1366589,0.682,0.682,468890186.6323131,0.7042,0.7042,1942397532.722877,-0.0,1425837612.1677637,0.4316
63,106074080.22207889,0.6966,0.6966,183303143.02188748,0.7311,0.7311,381710517.16590655,0.7262,0.7262,567147053.9585099,0.693,0.693,93299532.32349229,0.6517,0.6517,162994993.3626882,0.6814,0.6814,183618914.92300016,0.7085,0.7085,663475992.9268646,-0.0,233759064.62130165,0.4312
64,121479498.11671346,0.6904,0.6904,207451537.95074925,0.7225,0.7225,296306680.1368937,0.7193,0.7193,286030377.6407319,0.682,0.682,59343223.62250009,0.6469,0.6469,157494405.77517146,0.6758,0.6758,190748553.231451,0.7052,0.7052,669437998.4518572,-0.0,156998871.89405072,0.4312
65,100529559.27812737,0.6972,0.6972,200877117.90848735,0.7301,0.7301,329002914.2895184,0.7276,0.7276,282239832.7993419,0.6876,0.6876,60214050.03440876,0.6521,0.6521,155921089.09800488,0.6856,0.6856,165530281.61380512,0.7067,0.7067,689984374.1883959,-0.0,158318765.89706603,0.4312
66,82362526.76172692,0.6883,0.6883,169741155.52573535,0.7238,0.7238,290466805.3265982,0.7238,0.7238,284135895.6334678,0.6817,0.6817,55688706.00827161,0.6531,0.6531,136355231.9483488,0.6799,0.6799,136571460.51577693,0.7024,0.7024,580033059.3308307,-0.0,133968342.87002447,0.4312
67,64132417.24092323,0.6776,0.6776,125869979.24590206,0.7164,0.7164,228310768.09841362,0.708,0.708,252280548.7221238,0.6791,0.6791,47182600.561963074,0.6486,0.6486,109755711.13087592,0.666,0.666,91537736.1309026,0.6899,0.6899,381883369.06992084,-0.0,102787938.38142501,0.4316
68,58592830.86408781,0.6855,0.6855,105460782.75776483,0.7214,0.7214,202344130.01827514,0.7106,0.7106,216161026.3194518,0.6831,0.6831,57799805.01773112,0.6537,0.6537,101859598.06456478,0.6726,0.6726,95957002.26314725,0.6948,0.6948,359370284.36993843,-0.0,127515692.37992547,0.4317
69,45336388.36772992,0.6872,0.6872,103488276.98067997,0.7252,0.7252,173939677.49581668,0.714,0.714,179367359.9342043,0.6836,0.6836,53121450.85503321,0.6587,0.6587,89164513.30003208,0.6792,0.6792,79068487.87274398,0.6932,0.6932,263572216.17458338,-0.0,118954258.21070293,0.4316
70,35159254.32982229,0.6901,0.6901,105380689.7401354,0.7319,0.7319,165883368.76586625,0.7209,0.7209,174326901.23625934,0.6852,0.6852,50922081.125401765,0.6579,0.6579,83632699.29995687,0.69,0.69,75549540.33301355,0.7002,0.7002,215971555.4873249,-0.0,113612850.74192446,0.4312
71,31257890.91655493,0.6897,0.6897,93172424.60748807,0.7254,0.7254,125389589.64373788,0.7187,0.7187,147909429.89508337,0.6819,0.6819,52474089.11502827,0.6527,0.6527,73395900.59264384,0.6936,0.6936,74411707.44281527,0.7024,0.7024,178222302.1389666,-0.0,129941152.17846234,0.4312
