Power_Plant_ID,plant_name,fuel_type,capacity,capacity_factor_2025
Wind_64165,Priddy Wind Project,Wind,302.4,0.3831
Solar_64202,"Big Star Solar, LLC (Hybrid)",Solar,200.0,0.2124
Solar_64204,Elara Solar,Solar,132.4,0.229
Solar_64233,Hecate Energy Frye Solar LLC,Solar,500.0,0.2926
Solar_64239,7V Solar Ranch,Solar,240.0,0.2384
Solar_64258,AP Sunray LLC,Solar,203.5,0.2412
Solar_64259,BPL Crown Solar LLC,Solar,100.0,0.2418
Solar_64260,BPL Sol Solar LLC,Solar,100.0,0.2372
Solar_64325,Prospero Solar II,Solar,250.0,0.3046
Solar_64347,Mockingbird Solar Center,Solar,471.0,0.225
Natural Gas_64383,Braes Bayou Plant,Natural Gas,484.0,0.0448
Solar_64447,Brazoria West,Solar,200.0,0.2412
Solar_64538,Corazon Energy LLC,Solar,200.0,0.2107
Wind_64544,Ranchland Wind Project II,Wind,148.0,0.3857
Wind_64551,Ranchland Wind Project I,Wind,114.9,0.4344
Wind_64591,"El Algodon Alto Wind Farm, LLC",Wind,200.2,0.3709
Wind_64639,TG East,Wind,336.0,0.3332
Other_64672,"Blue Jay Solar I, LLC",Other,51.6,0.9826
Wind_64710,White Mesa Wind,Wind,500.6,0.4109
Solar_64859,"IP Radian, LLC",Solar,320.0,0.2346
Solar_64927,Aktina Solar,Solar,500.0,0.2124
Other_65028,"Roseland Solar Project, LLC",Other,51.8,2.2791
Solar_65034,Bernard Creek Solar,Solar,230.0,0.2484
Wind_65048,Hubbard Wind,Wind,300.0,0.3639
Wind_65162,Lacy Creek Wind Energy Center,Wind,301.3,0.453
Solar_65271,Noble Solar,Solar,400.0,0.1507
Other_65271,Noble Solar,Other,400.0,0.1507
Solar_65303,Sun Valley Solar Project,Solar,250.0,0.2537
Wind_65306,Limestone Wind Project,Wind,299.2,0.3983
Solar_65308,Horizon Solar,Solar,200.0,0.2648
Solar_65333,Shakes Solar,Solar,200.0,0.221
Wind_65335,Appaloosa Run Wind,Wind,171.8,0.4645
Natural Gas_65372,Mark One Power Station,Natural Gas,484.0,0.0832
