episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy
105,461938119.79659075,0.764,1528636293.178825,0.7269,967588810.8301133,0.6697,1120885996.282942,0.7376,1122625749.7301764,0.7006,247775638.38545176,0.7247,1432285286.551912,0.7357
106,904394839.8809708,0.7706,2483828887.5058436,0.7266,2366658553.8283663,0.6684,1490412010.958337,0.7347,1814819274.3814898,0.7059,364362795.1436173,0.7327,2514340592.1193905,0.7417
107,1493430328.7854216,0.7694,2740846158.282984,0.7243,2807666331.532575,0.6623,1462292272.6638436,0.7343,1863516841.2806013,0.707,452171863.56261855,0.7353,2640819507.186091,0.7403
108,2260150728.634836,0.7701,3029128363.9509983,0.7271,3463217103.6445103,0.6654,1530468911.4097033,0.7365,1907268919.8588374,0.7073,708442574.1515115,0.7399,2838381192.702743,0.7462
109,2419923636.6564217,0.7688,3060884493.5571713,0.7263,3188323223.9268084,0.6633,1368857854.4317431,0.7311,1747715869.9180636,0.7061,717012524.7888255,0.7417,2555022089.718904,0.743
110,2262223386.258794,0.7715,3043649078.322852,0.7294,3036747306.201807,0.6639,1389027738.637197,0.7292,1720970759.4077985,0.7066,954670213.8798668,0.7452,2288323127.634339,0.7456
111,2010843146.372269,0.772,3012590043.3039417,0.7287,2755267944.8828583,0.6656,1280247209.5873446,0.7273,1510629972.574122,0.7114,1136826332.2766874,0.7474,2058936202.9715483,0.7467
112,1915843072.3729389,0.7724,2979880074.6539636,0.7314,2614798724.1323667,0.6758,1307921347.6936178,0.7326,1465932341.6557887,0.7144,1200746283.1987982,0.751,1938681327.5924134,0.7493
113,1769334534.5826743,0.7702,2997239955.506315,0.7307,2303448351.616022,0.6787,1297568527.7057765,0.7317,1377727475.3616164,0.7146,1209578095.8882475,0.7521,1656949961.8282242,0.751
114,1560446425.368008,0.7696,3020942075.859218,0.7341,2292958631.142758,0.6811,1508320848.052073,0.733,1532924050.575207,0.7141,1358938470.3973558,0.7545,1923937115.0876734,0.7497
115,1503840875.4412053,0.7675,3267177726.8952384,0.7379,2418368082.6741343,0.6808,1689219763.1318142,0.7361,1747329564.586105,0.7138,1525107060.187564,0.7528,2308808177.186723,0.7471
116,1313590303.3820798,0.767,3221027555.7845845,0.7379,2272291797.6409607,0.6826,1571284404.190348,0.7316,1745355840.0437303,0.7102,1568093620.2613177,0.7548,2360083207.9053698,0.745
117,1043299186.1980847,0.7647,3087311965.855735,0.7378,2178810770.7601976,0.6761,1610726354.8715167,0.7276,1679235237.9697535,0.7052,1623425969.330421,0.7519,2295549174.78708,0.7407
