episode,agent_0_rolling_reward_var,agent_1_rolling_reward_var,agent_0_entropy,agent_1_entropy
163,78223816.28771916,58753821.18788134,0.6871,0.7137
164,91937207.58607303,50376598.39208416,0.686,0.7118
165,107027687.95580186,62883429.48505931,0.6844,0.7096
166,114862861.24750832,62242087.65197125,0.6836,0.7077
167,101274819.70137829,45677936.39590863,0.6708,0.6896
168,99302858.80544251,47478364.60246814,0.6841,0.706
169,90415089.87049547,43509405.48572559,0.6955,0.7184
170,81466748.8649531,38978264.91225235,0.6962,0.7203
171,59209449.78907823,29585263.96973621,0.6978,0.7211
172,48935203.5156087,32341588.822516207,0.6966,0.7186
173,31829994.454509113,31058818.455531757,0.6982,0.7223
174,35785341.47071369,37539527.78001029,0.6995,0.73
175,50244235.64867597,40293025.05291825,0.6989,0.7309
176,65132864.13148152,46835516.79276587,0.6982,0.7295
177,68184331.16051945,47357801.926745184,0.6987,0.7266
178,63653886.46460406,43813554.00891856,0.7015,0.7277
179,57742793.8371877,29795771.902927868,0.6989,0.7264
180,47925214.1764992,17763089.073920056,0.696,0.7211
181,27323468.364777267,6412405.247351308,0.6963,0.7246
182,26524419.364679754,18953605.22835311,0.6934,0.7179
183,36206489.33071423,30302834.42466998,0.6822,0.7026
184,37212576.365019366,37185878.81983096,0.683,0.7025
185,34767220.78612541,37530582.83598485,0.6885,0.7125
186,36636688.34699767,37309497.71442699,0.692,0.7185
187,41155287.68348631,38473051.16944056,0.6919,0.7173
188,47412169.24701577,38665732.48854415,0.6872,0.7073
189,47549763.16527103,35844333.68535425,0.6874,0.7085
190,39911598.39677279,28363553.888786986,0.6829,0.7023
191,40611260.06168902,37836726.00867985,0.6965,0.7161
192,53836026.41496718,62284645.29480897,0.7072,0.7297
193,58651547.5664651,75912162.96338949,0.7098,0.735
194,48718080.558731586,73659290.949013,0.7075,0.7355
195,44934950.41750304,73511547.90962227,0.6996,0.724
196,44050430.5743599,69985365.51462816,0.6968,0.7254
197,45972508.10003365,81794298.70880908,0.6961,0.7298
198,68717471.07340257,133695735.87273043,0.6978,0.7279
199,103910420.95031598,209745273.55040708,0.7039,0.7394
200,150545795.8380228,312579401.43841785,0.7138,0.7502
201,177469909.31745785,404309042.0710433,0.7126,0.7486
202,222982309.76820946,530876986.80269074,0.7132,0.7477
203,273545037.17064625,678075101.3948658,0.717,0.7479
204,358352653.52867055,877766046.9538518,0.7178,0.7541
205,447630747.95995784,1050577002.2710319,0.7146,0.7569
206,504259514.09444773,1168495512.1855004,0.7097,0.7512
207,537800294.3034989,1207164845.57907,0.7107,0.7513
208,553701221.1912044,1225274986.5148947,0.706,0.7467
209,536960722.3635265,1164002146.7939353,0.7091,0.7484
210,484711039.7479426,1041851769.567933,0.7143,0.7513
211,427601656.9269699,899881614.6763687,0.7158,0.7546
212,379673461.91297626,776847241.5669453,0.7147,0.7557
213,333749787.71146953,641132646.8501703,0.7128,0.7531
214,287297319.2706061,513042138.83203876,0.7045,0.7506
215,198303714.03906032,347171939.075029,0.701,0.7499
216,126481649.60848328,207827948.92724103,0.7062,0.7565
217,54943443.03750738,91618992.51438239,0.7149,0.7617
218,17770868.497532886,33379041.603862908,0.7225,0.7601
219,3954506.114061747,6876183.925641005,0.7241,0.7572
220,963712.878509719,1789808.2911525655,0.7212,0.7551
221,0.0,0.0,0.7193,0.7523
222,0.0,0.0,0.7151,0.7427
223,0.0,0.0,0.7154,0.7384
224,0.0,0.0,0.7167,0.742
225,0.0,0.0,0.7246,0.7485
226,0.0,0.0,0.7277,0.7512
227,0.0,0.0,0.7265,0.7496
228,0.0,0.0,0.7197,0.7443
229,0.0,0.0,0.7192,0.7437
230,0.0,0.0,0.7182,0.745
231,0.0,0.0,0.7161,0.7468
232,0.0,0.0,0.699,0.7406
233,0.0,0.0,0.7018,0.7443
234,0.0,0.0,0.7056,0.7451
235,0.0,0.0,0.7042,0.7433
236,0.0,0.0,0.7071,0.7467
237,0.0,0.0,0.7147,0.7555
238,0.0,0.0,0.7211,0.7633
239,0.0,0.0,0.7211,0.7677
240,0.0,0.0,0.7219,0.7687
241,0.0,0.0,0.7127,0.7602
242,0.0,0.0,0.7151,0.7602
243,0.0,0.0,0.7151,0.76
244,0.0,0.0,0.7118,0.7561
245,0.0,0.0,0.7099,0.7548
246,0.0,0.0,0.7075,0.7511
247,0.0,0.0,0.7022,0.7469
248,0.0,0.0,0.6957,0.7418
249,0.0,0.0,0.6889,0.7356
250,0.0,0.0,0.6832,0.7298
251,0.0,0.0,0.6858,0.7378
252,0.0,0.0,0.6786,0.7355
253,0.0,0.0,0.6807,0.7346
254,0.0,0.0,0.6806,0.7354
255,0.0,0.0,0.6807,0.7379
256,0.0,0.0,0.6789,0.7406
257,0.0,0.0,0.6801,0.7441
258,0.0,0.0,0.682,0.7434
259,0.0,0.0,0.685,0.744
260,0.0,0.0,0.6882,0.748
261,0.0,0.0,0.6922,0.7516
262,0.0,0.0,0.7028,0.7588
263,0.0,0.0,0.7069,0.7636
264,0.0,0.0,0.709,0.7663
265,0.0,0.0,0.7168,0.7707
266,0.0,0.0,0.7217,0.7722
267,0.0,0.0,0.7225,0.7723
268,0.0,0.0,0.7252,0.7751
269,0.0,0.0,0.7281,0.775
270,0.0,0.0,0.7271,0.7696
271,0.0,0.0,0.7255,0.7675
272,0.0,0.0,0.7248,0.7682
273,0.0,0.0,0.7268,0.7694
274,0.0,0.0,0.7247,0.7701
275,0.0,0.0,0.7288,0.7724
276,0.0,0.0,0.73,0.7745
277,0.0,0.0,0.7338,0.7743
278,0.0,0.0,0.7374,0.7709
279,0.0,0.0,0.7356,0.7745
280,0.0,0.0,0.7366,0.7751
281,0.0,0.0,0.7335,0.7755
282,0.0,0.0,0.7336,0.7731
283,0.0,0.0,0.7335,0.7753
284,0.0,0.0,0.7359,0.7823
285,0.0,0.0,0.7457,0.7905
286,0.0,0.0,0.7443,0.7898
287,0.0,0.0,0.7412,0.7879
288,0.0,0.0,0.7454,0.7914
289,0.0,0.0,0.7498,0.7936
290,0.0,0.0,0.7482,0.7896
291,0.0,0.0,0.7438,0.7897
292,0.0,0.0,0.741,0.7888
293,0.0,0.0,0.7452,0.7878
294,0.0,0.0,0.7406,0.7786
295,0.0,0.0,0.747,0.7835
296,0.0,0.0,0.7441,0.7799
297,0.0,0.0,0.7445,0.7797
298,0.0,0.0,0.744,0.7727
299,0.0,0.0,0.7367,0.7642
