episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_action_entropy,agent_0_mean_bid_price,agent_0_mean_bid_qty_mw,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_action_entropy,agent_1_mean_bid_price,agent_1_mean_bid_qty_mw
62,335,31.842034842488484,21.52791148104083,-1.054225876890838,164.1113817811578,46353.45970149254,0.655327323665407,131248.5381387357,391.7866810111513,505.1505258174089,0.0,0.7449,21.55477985074627,28.777985074626866,151201.29189885774,451.3471399965903,718.7393958121468,0.0,0.7652,32.45796828358209,26.128731343283583
63,335,31.713510892404656,22.307538504655827,-4.134298263208019,164.95806341369217,46496.12835820895,0.6545964490496281,130155.32224387451,388.52334998171494,506.3178370515453,0.0,0.747,23.154533582089552,28.348880597014926,154939.43246657477,462.5057685569396,746.9200435878108,0.0,0.7677,32.37374626865672,26.277985074626866
64,335,31.93250719693734,21.878845563710346,-5.69,162.28281361360786,46414.66567164179,0.6536381194923996,132122.82583614736,394.3964950332757,510.51307945407586,0.0,0.7449,23.278458955223883,28.42350746268657,152271.83769439,454.54279908773134,731.596912194438,0.0,0.7571,32.1902593283582,26.44589552238806
65,335,31.025865958014613,22.447176338846557,-5.69,162.12788024951155,46349.558208955226,0.6587185173591764,124301.85270592579,371.0503065848531,508.6420166504762,0.0,0.7505,23.938313432835823,27.975746268656717,151930.8069513805,453.52479686979257,747.5333679926275,0.0,0.7675,33.208408582089554,26.85634328358209
66,335,29.755508299112456,21.58151853971537,-5.660203431547819,154.17890991226366,46184.81194029851,0.6683716268069636,116230.74213177824,346.957439199338,495.1221690784038,0.0,0.7409,24.649738805970156,28.46082089552239,140699.92970089416,419.99979015192287,680.7941369927563,0.0,0.7532,34.510298507462686,26.725746268656717
67,335,30.097753699916666,21.59131612992569,-5.69,162.79860092797765,46202.119402985074,0.6662061487718677,117772.62369567835,351.5600707333682,493.78489849001284,0.0,0.7308,24.754375000000003,28.871268656716417,142476.1808616719,425.30203242290116,682.4219409261583,0.0,0.7361,35.3197052238806,26.763059701492537
68,335,29.071969899120145,20.22707882621292,-5.69,164.78685364112656,46272.81791044776,0.6743984861960239,108666.30529279221,324.37703072475284,447.5009570510736,0.0,0.7357,25.641367537313428,28.57276119402985,128224.89226043303,382.76087241920305,610.9264120199242,0.0,0.7422,36.89800373134328,26.78171641791045
69,335,31.712395649727533,24.12501460294924,-2.3018712807100647,216.1173415629929,46516.68059701493,0.6611479131202833,123080.97288030523,367.405889194941,490.94479708162856,0.0,0.7331,25.09705783582089,28.330223880597014,151393.86795794073,451.9219939043007,750.9760350004084,0.0,0.7523,36.624026119402984,26.78171641791045
70,335,32.347796271328974,24.82756043769874,-4.404192591728518,212.41244825229995,46802.99402985074,0.6565752922028145,122711.8944236202,366.30416245856776,500.43194119393627,0.0,0.7421,25.564352611940297,27.994402985074625,155359.18857448158,463.7587718641241,764.6004965780725,0.0,0.7635,36.481714552238806,26.93097014925373
71,335,31.726579780986498,24.447130597485796,-3.436784203711624,216.6459809916943,46761.880597014926,0.6622467243475598,122431.71346244628,365.46780138043664,464.2065705618855,0.0,0.7386,25.654837686567163,28.311567164179106,151928.56442885508,453.51810277270175,746.3456974949414,0.0,0.7598,35.29995895522388,27.098880597014926
72,335,31.36108333054902,24.21513514704987,-5.011018050097325,220.92625513670902,46522.21791044776,0.666441186342317,119397.44469491948,356.41028267140143,472.99033654240793,0.0,0.7339,25.51937126865672,28.740671641791046,149515.7626146822,446.3157092975588,748.9644466434144,0.0,0.7554,36.92192164179105,27.546641791044777
73,335,31.50363420553462,23.696044190198506,-5.69,220.1354128201076,46625.64179104478,0.6664248284930824,120358.57551499135,359.2793298954966,463.7797176916386,0.0,0.7256,25.50240671641791,28.871268656716417,152309.67481956078,454.65574573003215,754.7869751205158,0.0,0.7502,36.27423320895522,27.919776119402986
74,335,30.048234929320085,22.35775504669033,-5.69,205.94388092066427,47094.9223880597,0.6768605788279168,108391.52637920299,323.5567951618,444.78992708464295,0.0,0.7293,24.663421641791047,28.684701492537314,134995.60781303895,402.9719636210118,683.8844151229273,0.0,0.7584,36.09505410447762,27.863805970149254
75,335,30.917524326422285,20.80398555121071,-2.5770811951768757,215.3343418883478,47375.35820895522,0.6712124687501548,112439.13912415848,335.6392212661447,418.325203582183,0.0,0.7238,23.727235074626865,28.199626865671643,145196.1354475661,433.42129984348094,712.0269858028722,0.0,0.7643,35.010195895522386,28.050373134328357
76,335,32.65839324467062,21.37903338562641,-5.69,217.62073520716197,47525.14328358209,0.6581190834908518,123609.76424595235,368.98437088343985,438.8985014063055,0.0,0.7315,22.90572947761194,28.21828358208955,157771.5155392488,470.9597478783546,727.8635439582104,0.0,0.7769,35.013186567164176,27.82649253731343
77,335,33.26651549458936,20.94367363760381,-5.69,215.73091991439225,47901.2776119403,0.6544100556659198,127933.79182596868,381.89191589841397,440.367005989068,0.0,0.7224,22.13190671641791,28.255597014925375,157127.3982543888,469.0370097145934,720.7481138041459,0.0,0.7684,34.17067723880597,27.770522388059703
78,335,35.091567908063276,23.81927901377595,-5.482687357117657,209.39854545377912,48403.17910447761,0.6427351584017267,144942.62750094626,432.6645597043172,466.83720896262946,0.0,0.7231,21.827240671641793,27.994402985074625,180045.59616517823,537.4495407915769,831.9458296949371,0.0,0.7723,34.27215485074627,27.527985074626866
79,335,36.62726680782137,23.60140294028817,1.3678096650260994,212.91993288898345,48892.40597014925,0.6324292097555921,152924.52718468403,456.4911259244299,465.5384420918902,0.0,0.7299,20.225132462686567,28.050373134328357,187432.1926381266,559.4990825018705,837.6121045894135,0.0,0.773,32.39891417910447,26.986940298507463
80,335,37.57069835044048,23.12341132693361,12.726120593176546,219.13938398183691,49235.44776119403,0.6260331332319585,153923.15704162803,459.47211057202395,452.98141739009316,0.0,0.7264,20.259531716417907,27.565298507462686,194400.32904901393,580.2994896985491,829.2721955398853,0.0,0.7689,32.38440298507463,26.800373134328357
81,335,37.41690792122797,23.105296432763286,-2.032499420460108,219.32821995351088,49201.259701492534,0.626032708272755,157409.676397016,469.87963103586867,461.4010686340573,0.0,0.7168,19.78217164179104,26.89365671641791,190855.57457680992,569.7181330651042,833.5367840410736,0.0,0.7628,32.980770522388056,26.688432835820894
82,335,37.28168117903385,23.64805798904794,-1.38405059111003,210.5415655346891,49070.96119402985,0.6261132243685816,157626.9032088829,470.52806928024745,475.0268790128916,0.0,0.7278,19.821567164179104,27.042910447761194,192263.17003018723,573.9199105378723,830.5885830286198,0.0,0.7712,32.092580223880596,26.520522388059703
83,335,36.306714811418516,20.2238057547034,2.095231946020144,172.95055520571444,48785.28358208955,0.6281060604397241,157664.66985221888,470.6408055290116,441.779075487253,0.0,0.7358,20.23814552238806,27.621268656716417,184941.28543134092,552.0635386010176,744.1198362098464,0.0,0.7721,31.303800373134326,26.57649253731343
84,335,35.132246954713644,20.176669949479813,-1.0720958901527062,166.8669929751391,48498.8328358209,0.6352001829129267,151755.7918677788,453.00236378441434,445.9709302067333,0.0,0.7385,20.75306902985075,27.975746268656717,174629.25393987432,521.2813550444009,739.1824491307099,0.0,0.7733,31.428600746268653,26.42723880597015
85,335,35.45720113542356,20.230596828632233,-1.0029840260844791,167.63428487356393,48542.99402985074,0.6335919825973471,152375.6981214193,454.8528302131919,448.3778855263209,0.0,0.7494,22.34691417910448,27.565298507462686,177276.6884455469,529.1841446135728,742.6535711217412,0.0,0.7826,33.871227611940306,26.371268656716417
86,335,35.02482919554249,20.71380608714439,-1.114280568782732,162.14308490078744,48822.90149253731,0.6360195048616631,145012.34504883483,432.8726717875667,436.2517581411896,0.0,0.7452,22.534444029850746,27.527985074626866,176838.70551403647,527.8767328777208,751.12755443659,0.0,0.7778,32.53775559701492,26.613805970149254
