episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
96,613276418.1941952,0.7031,0.7031,1123101680.6171498,0.6712,0.6712,700920754.3585733,0.6803,0.6803,2176584455.4300933,-0.0,1524657474.5619853,0.4317
97,577088834.7429894,0.708,0.708,1093070772.647543,0.6795,0.6795,694935500.262758,0.6884,0.6884,2106374381.6757662,-0.0,1505312677.6954646,0.4316
98,526221666.8012877,0.7025,0.7025,1045993092.5375838,0.6802,0.6802,640127055.7432681,0.6868,0.6868,1955523598.5913074,-0.0,1381468122.1920803,0.4312
99,463946972.1190556,0.7108,0.7108,969395177.1508015,0.6859,0.6859,535843363.6176725,0.6904,0.6904,1736097911.6371417,-0.0,1075527792.218689,0.4312
100,400946078.5266619,0.7279,0.7279,849971820.7406564,0.6997,0.6997,459601038.7534448,0.702,0.702,1479385622.0145242,-0.0,906197359.9662486,0.4312
101,307996240.26754564,0.7361,0.7361,601792067.795996,0.7026,0.7026,343071819.70299923,0.7034,0.7034,1079889618.0861804,-0.0,670810430.0943837,0.4312
102,270825792.5494921,0.7382,0.7382,433310940.93491644,0.7078,0.7078,263982552.71212974,0.705,0.705,877004105.5960606,-0.0,548712672.537071,0.4316
103,287672374.79788023,0.7382,0.7382,350138156.1099528,0.706,0.706,197283741.0804979,0.706,0.706,730057606.2490737,-0.0,500612737.85057247,0.4317
104,296769881.37554145,0.7377,0.7377,272632676.15604997,0.704,0.704,127030169.22709623,0.7093,0.7093,616057223.2646369,-0.0,426730041.1876334,0.4316
105,315473867.2576219,0.7379,0.7379,175257183.90109637,0.7038,0.7038,94623362.71499267,0.7055,0.7055,488715039.75732106,-0.0,455283961.24052775,0.4312
106,357293844.791158,0.7359,0.7359,216301594.45414588,0.7025,0.7025,120368199.2634344,0.7097,0.7097,592341991.8102298,-0.0,569501241.6981828,0.4312
107,334334400.1268216,0.732,0.732,278131932.8235065,0.7009,0.7009,155792931.67611787,0.7056,0.7056,709128502.7339731,-0.0,683022490.3670934,0.4312
108,248352365.9305323,0.726,0.726,251191826.8662412,0.6957,0.6957,159341521.4517267,0.699,0.699,747628906.2298737,-0.0,671379384.1624287,0.4312
