profile_id,agent_id,mean_payoff,std_err,ci_low,ci_high,n_rollouts
a0:learned_agent_0__quantity_down_1|a1:hist_quantile_agent_1,0,44839.696532806505,66.06198778944538,44710.215036739195,44969.178028873815,16
a0:learned_agent_0__quantity_down_1|a1:hist_quantile_agent_1,1,81074.25358030578,111.09638299755095,80856.50466963058,81292.00249098099,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_up_1,0,44909.22653240464,64.82955131944662,44782.16061181852,45036.292452990754,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_up_1,1,38488.19533030022,53.73392115484289,38382.876844836734,38593.51381576371,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_down_1,0,44843.26314127225,63.405622176708206,44718.9881218059,44967.53816073859,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_down_1,1,59355.78460669171,25.5022672047914,59305.80016297032,59405.7690504131,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_up_1,0,44851.84725961607,63.97526684428081,44726.45573660128,44977.23878263086,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_up_1,1,64516.92230481059,53.08000751441604,64412.885490082335,64620.95911953885,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_down_1,0,44887.51158342631,64.58549991413179,44760.92400359461,45014.09916325801,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_down_1,1,37835.165947729525,31.503949838852172,37773.418206045375,37896.913689413675,16
