source,target,agent_id,from_policy_id,to_policy_id,gain_mean,gain_lcb,decision_rule,epsilon
a0:hist_quantile_agent_0|a1:learned_agent_1,a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,learned_agent_1,cost_plus_agent_1,99005.42459510066,98723.49748304304,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1,a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1,hist_quantile_agent_1,29886.560179958848,29641.57009886139,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1,a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1,learned_agent_1__price_down_1,8245.446204489665,8165.686620879421,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1,learned_agent_1__quantity_up_1,13493.950512468644,13471.423685135678,conservative,0.0
a0:hist_quantile_agent_0|a1:cost_plus_agent_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,0,hist_quantile_agent_0,cost_plus_agent_0,69073.82475730045,68859.23578259507,conservative,0.0
a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,a0:cost_plus_agent_0|a1:hist_quantile_agent_1,0,hist_quantile_agent_0,cost_plus_agent_0,68824.91418121726,68609.05830591964,conservative,0.0
a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,hist_quantile_agent_1,cost_plus_agent_1,69118.86441514181,68905.9787564069,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,0,hist_quantile_agent_0,cost_plus_agent_0,69059.27482805532,68840.25616976377,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,a0:hist_quantile_agent_0|a1:learned_agent_1,1,learned_agent_1__price_up_1,learned_agent_1,12525.80919279553,12384.26896817218,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__price_up_1,cost_plus_agent_1,111531.2337878962,111285.49957327862,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__price_up_1,hist_quantile_agent_1,42412.36937275437,42180.0866446047,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1__price_up_1,learned_agent_1__price_down_1,20771.255397285197,20663.48757326154,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__price_up_1,learned_agent_1__quantity_up_1,26019.759705264172,25864.748887514088,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,0,hist_quantile_agent_0,cost_plus_agent_0,69080.80422753203,68862.88047493272,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__price_down_1,cost_plus_agent_1,90759.97839061101,90512.1114141871,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__price_down_1,hist_quantile_agent_1,21641.113975469183,21427.104770798534,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__price_down_1,learned_agent_1__quantity_up_1,5248.504307978979,5151.49223666555,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,0,hist_quantile_agent_0,cost_plus_agent_0,69069.76383344387,68851.22594716029,conservative,0.0
